2025-05-02 14:45:04,426 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:45:08,556 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:46:08,880 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-05-02 14:46:10,343 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:46:11,279 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:46:17,378 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:47:22,275 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-05-02 14:47:25,767 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:47:28,037 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:47:32,258 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:50:07,772 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:50:09,839 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:50:15,806 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:51:22,708 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:51:24,726 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:51:29,578 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:52:46,770 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:52:53,437 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:52:58,080 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:56:45,124 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-05-02 14:56:47,435 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:56:48,192 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:56:52,713 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:57:51,815 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:58:42,932 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:58:47,224 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:59:05,855 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:59:07,550 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:59:11,705 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:59:39,516 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:59:47,039 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:59:51,726 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
